Feature,Model,Measured_VRAM_MB (BS=256),Target_VRAM_MB,Recommended_BatchSize
X_mel,SimpleCNN,21697.69,20480,192
X_mel,ResNet18,14781.41,20480,288
X_mel,ResNet34,20882.41,20480,192
X_mel,ResNet50,55260.28,20480,64
X_mel,RNN,10223.25,20480,416
X_mel,LSTM,14525.06,20480,288
X_mel,Transformer,30326.24,20480,128
X_mfcc,SimpleCNN,6169.21,20480,704
X_mfcc,ResNet18,4447.21,20480,992
X_mfcc,ResNet34,5303.39,20480,832
X_mfcc,ResNet50,10671.59,20480,416
X_mfcc,RNN,9691.00,20480,448
X_mfcc,LSTM,14095.36,20480,288
X_mfcc,Transformer,30219.76,20480,128
X_cqt,SimpleCNN,14577.75,20480,288
X_cqt,ResNet18,10624.83,20480,416
X_cqt,ResNet34,14435.95,20480,288
X_cqt,ResNet50,38013.66,20480,96
X_cqt,RNN,10007.05,20480,416
X_cqt,LSTM,14349.14,20480,288
X_cqt,Transformer,30283.50,20480,128
X_stft,SimpleCNN,21719.77,20480,192
X_stft,ResNet18,14616.59,20480,288
X_stft,ResNet34,21260.46,20480,192
X_stft,ResNet50,57501.66,20480,64
X_stft,RNN,3349.92,20480,1312
X_stft,LSTM,4377.11,20480,992
X_stft,Transformer,7835.48,20480,544
